Transaction ID,Price Per Unit,Quantity,Total Spent,Transaction Date,cat_Beverages,cat_Butchers,cat_Computers and electric accessories,cat_Electric household essentials,cat_Food,cat_Furniture,cat_Milk Products,cat_Patisserie,Location_Encoded,Payment_Cash,Payment_Credit Card,Payment_Digital Wallet,Discount_False,Discount_True,Discount_Unknown
TXN_1002182,11.0,5.0,55.0,2024-10-08,0,0,0,0,1,0,0,0,0,False,False,True,False,True,False
TXN_1003865,6.5,5.0,32.5,2022-03-12,0,0,0,0,0,1,0,0,1,True,False,False,True,False,False
TXN_1003940,11.0,9.0,99.0,2022-04-22,0,0,0,0,0,1,0,0,1,False,False,True,True,False,False
TXN_1004091,41.0,3.0,123.0,2023-11-09,0,0,0,0,1,0,0,0,0,True,False,False,True,False,False
TXN_1004124,14.0,5.0,70.0,2022-03-02,0,0,1,0,0,0,0,0,0,False,True,False,False,False,True
TXN_1004284,41.0,3.0,123.0,2023-09-25,0,0,0,0,0,0,1,0,1,True,False,False,False,False,True
TXN_1005750,21.5,6.0,129.0,2022-11-26,0,0,0,1,0,0,0,0,1,False,True,False,True,False,False
TXN_1006123,15.5,1.0,15.5,2023-10-17,0,0,0,1,0,0,0,0,1,True,False,False,False,False,True
TXN_1006129,29.0,8.0,232.0,2024-11-05,0,0,0,0,0,0,1,0,1,False,False,True,False,False,True
TXN_1006950,18.5,5.0,92.5,2023-08-03,0,0,0,0,1,0,0,0,1,True,False,False,False,True,False
TXN_1007144,6.5,4.0,26.0,2022-03-05,1,0,0,0,0,0,0,0,1,False,False,True,False,False,True
TXN_1007406,21.5,6.0,129.0,2022-05-08,1,0,0,0,0,0,0,0,1,False,True,False,False,True,False
TXN_1007496,15.5,10.0,155.0,2024-02-05,0,1,0,0,0,0,0,0,1,False,True,False,False,True,False
TXN_1007510,35.0,5.0,175.0,2022-10-03,1,0,0,0,0,0,0,0,0,True,False,False,True,False,False
TXN_1009738,41.0,2.0,82.0,2023-04-23,0,0,1,0,0,0,0,0,0,False,False,True,True,False,False
TXN_1010570,26.0,7.0,182.0,2023-04-24,0,1,0,0,0,0,0,0,1,False,True,False,False,True,False
TXN_1010976,21.5,5.0,107.5,2022-06-30,0,0,1,0,0,0,0,0,0,False,False,True,False,False,True
TXN_1011669,23.0,8.0,184.0,2025-01-17,0,0,0,0,1,0,0,0,1,False,True,False,False,False,True
TXN_1011882,35.0,2.0,70.0,2023-10-31,0,0,0,0,0,0,0,1,0,True,False,False,False,False,True
TXN_1011892,39.5,2.0,79.0,2023-08-27,0,0,0,0,0,1,0,0,1,False,True,False,True,False,False
TXN_1011915,32.0,10.0,320.0,2023-03-25,0,0,0,0,0,0,0,1,0,False,True,False,False,True,False
TXN_1012234,8.0,7.0,56.0,2024-05-12,0,0,1,0,0,0,0,0,0,False,True,False,False,True,False
TXN_1012276,35.0,9.0,315.0,2024-11-14,0,0,0,0,1,0,0,0,0,True,False,False,False,True,False
TXN_1013045,32.0,4.0,128.0,2023-07-11,0,0,1,0,0,0,0,0,0,True,False,False,False,True,False
TXN_1014253,24.5,9.0,220.5,2023-01-15,0,0,0,0,0,1,0,0,0,False,True,False,False,True,False
TXN_1014375,29.0,3.0,87.0,2023-09-28,0,0,0,0,1,0,0,0,1,False,False,True,False,True,False
